state,fs_mw,solar_mw,fs_pct,fs_generators,total_generators
AL,439.7,666.3,65.99,6,11
SD,128.0,209.0,61.24,1,3
KY,229.0,429.7,53.29,4,15
LA,485.0,1070.4,45.31,3,13
TN,268.8,593.6,45.28,20,34
GA,2048.9,5015.4,40.85,23,155
AZ,1968.1,5339.0,36.86,22,149
IL,1060.4,2944.5,36.01,8,212
CA,7306.4,22537.6,32.42,123,1037
FL,3462.4,10949.9,31.62,57,191
NV,1546.6,5285.1,29.26,27,102
TX,6088.6,22805.7,26.7,39,186
HI,109.6,467.2,23.46,3,54
CO,504.0,2353.3,21.42,15,161
WI,425.0,2104.4,20.2,3,94
UT,421.6,2199.2,19.17,6,55
VA,849.2,4686.1,18.12,21,127
AR,318.4,1793.7,17.75,17,62
MN,290.8,1652.9,17.59,139,700
WV,24.4,140.4,17.38,2,4
ME,132.3,816.0,16.21,6,136
SC,240.6,1647.2,14.61,7,121
NC,846.3,6783.1,12.48,89,793
MS,116.9,1219.7,9.58,5,22
PA,82.7,871.0,9.49,2,63
IN,230.5,2491.2,9.25,5,109
NM,178.0,2325.4,7.65,16,90
OH,221.9,3238.0,6.85,8,63
MD,40.7,672.4,6.05,2,164
CT,12.0,319.0,3.76,1,83
MI,37.1,1159.1,3.2,3,62
MA,11.9,1425.3,0.83,2,540
NJ,3.1,1173.6,0.26,2,388
NY,1.0,2592.4,0.04,1,614
RI,0.0,414.7,0.0,0,76
KS,0.0,65.9,0.0,0,33
ID,0.0,501.6,0.0,0,13
IA,0.0,677.5,0.0,0,28
DE,0.0,97.3,0.0,0,17
VT,0.0,150.5,0.0,0,53
WA,0.0,268.4,0.0,0,9
DC,0.0,27.8,0.0,0,14
MT,0.0,179.0,0.0,0,9
WY,0.0,242.0,0.0,0,2
NE,0.0,137.6,0.0,0,21
NH,0.0,2.4,0.0,0,1
AK,0.0,7.7,0.0,0,18
MO,0.0,469.9,0.0,0,29
OK,0.0,173.5,0.0,0,14
OR,0.0,1050.6,0.0,0,132
