year,cdte_annual,csi_annual,total_annual,cdte_projects,total_projects,cdte_cumulative,total_cumulative,cdte_market_share,cumulative_market_share,cdte_growth_rate,total_growth_rate
2010,117.8,125.8,243.6,10,73,117.8,243.6,48.4,48.4,,
2011,83.0,670.1,764.2,11,185,200.8,1007.8000000000001,10.9,19.9,-29.541595925297116,213.71100164203614
2012,503.5,1082.3,1610.0,10,254,704.3,2617.8,31.3,26.9,506.6265060240964,110.6778330280031
2013,1180.8,1549.8,3550.7,23,291,1885.1,6168.5,33.3,30.6,134.5183714001986,120.54037267080746
2014,1351.0,2214.5,3815.6,41,391,3236.1,9984.1,35.4,32.4,14.413956639566393,7.460500746331711
2015,910.8,2481.3,3548.7,50,384,4146.9,13532.8,25.7,30.6,-32.583271650629165,-6.9949680259985385
2016,1508.7,6558.9,8107.1,67,540,5655.599999999999,21639.9,18.6,26.1,65.64558629776023,128.45267280976134
2017,823.1,4362.9,5244.2,76,628,6478.7,26884.100000000002,15.7,24.1,-45.44309670577318,-35.31349064400341
2018,952.5,3722.0,4927.2,61,578,7431.2,31811.300000000003,19.3,23.4,15.721054549872427,-6.04477327333054
2019,1762.6,3935.0,5650.9,55,560,9193.8,37462.200000000004,31.2,24.5,85.04986876640419,14.687855171294029
2020,2489.5,8220.6,10794.1,60,677,11683.3,48256.3,23.1,24.2,41.24021332123,91.01559043692158
2021,3814.5,9646.6,13748.8,47,692,15497.8,62005.100000000006,27.7,25.0,53.22353886322555,27.373287258780255
2022,3638.7,7405.3,11277.2,55,491,19136.5,73282.3,32.3,26.1,-4.6087298466378375,-17.976841615268235
2023,4479.4,14385.3,19633.9,64,582,23615.9,92916.20000000001,22.8,25.4,23.10440541951795,74.10261412407336
2024,6477.4,24778.5,31277.4,50,640,30093.300000000003,124193.6,20.7,24.2,44.60418806090101,59.30304218723737
