plant_code,plant_name,state,nameplate_mw,distance_km,nearest_plant,capacity_w,transport_mode,freight_cost_per_w,total_freight_cost,co2_emissions_tons,carbon_cost,distance_bin
645,Big Bend,FL,19.8,888.0,Alabama,19800000.0,Rail,0.003552,70329.6,386.8128,32879.087999999996,500-1000km
6081,Stony Brook,MA,6.9,910.3,Ohio,6900000.0,Rail,0.0036412,25124.28,138.18354,11745.6009,500-1000km
10444,"Lockhart Solar PV, LLC",CA,100.4,2455.1,Louisiana,100400000.0,Rail,0.0098204,985968.16,5422.82488,460940.1148,2000-3000km
56875,Sacramento Soleil LLC,CA,1.0,2846.3,Louisiana,1000000.0,Rail,0.0113852,11385.2,62.6186,5322.581,2000-3000km
56877,Hall's Warehouse Solar Project,NJ,1.6,770.7,Ohio,1600000.0,Rail,0.0030828,4932.4800000000005,27.12864,2305.9344,500-1000km
56917,"Imperial Valley Solar, LLC",CA,101.0,2275.0,Louisiana,101000000.0,Rail,0.0091,919100.0,5055.049999999999,429679.24999999994,2000-3000km
56917,"Imperial Valley Solar, LLC",CA,64.6,2275.0,Louisiana,64599999.99999999,Rail,0.0091,587860.0,3233.23,274824.55,2000-3000km
56917,"Imperial Valley Solar, LLC",CA,34.3,2275.0,Louisiana,34300000.0,Rail,0.0091,312130.0,1716.715,145920.775,2000-3000km
56939,Solar Blythe LLC,CA,21.0,2201.6,Louisiana,21000000.0,Rail,0.008806399999999999,184934.39999999997,1017.1392,86456.832,2000-3000km
56944,CM10,NV,10.0,2254.8,Louisiana,10000000.0,Rail,0.0090192,90192.0,496.056,42164.76,2000-3000km
57008,SunEdison Procter & Gamble Oxnard,CA,1.0,2609.8,Louisiana,1000000.0,Rail,0.010439200000000001,10439.2,57.4156,4880.326,2000-3000km
57197,Blue Wing Solar Energy Generation,TX,13.9,642.1,Louisiana,13900000.0,Rail,0.0025683999999999998,35700.759999999995,196.35418,16690.105300000003,500-1000km
57202,Jacksonville Solar,FL,12.6,690.4,Alabama,12600000.0,Rail,0.0027616,34796.159999999996,191.37887999999998,16267.204799999998,500-1000km
57203,Wyandot Solar Farm,OH,10.0,79.7,Ohio,10000000.0,Truck,0.0006376,6376.0,54.196000000000005,4606.660000000001,0-500km
57205,CM48,NV,8.0,2254.7,Louisiana,8000000.0,Rail,0.009018799999999999,72150.4,396.82719999999995,33730.312,2000-3000km
57205,CM48,NV,10.0,2254.7,Louisiana,10000000.0,Rail,0.009018799999999999,90187.99999999999,496.034,42162.89,2000-3000km
57205,CM48,NV,10.0,2254.7,Louisiana,10000000.0,Rail,0.009018799999999999,90187.99999999999,496.034,42162.89,2000-3000km
